city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Mexico City,19.4333,-99.1333,Mexico,MX,Ciudad de México,primary,20996000,8918653
Acopilco,19.2000,-99.1900,Ciudad de México,,,,,
Agricola Oriental Norte,19.2500,-99.0400,Ciudad de México,,,,,
Agricola Oriental Sur,19.2400,-99.0400,Ciudad de México,,,,,
Aguilera,19.2800,-99.0900,Ciudad de México,,,,,
Ahuayucan,19.1300,-99.0600,Ciudad de México,,,,,
Aldama,19.2800,-99.0900,Ciudad de México,,,,,
Alvaro Obregon,19.2224,-99.1330,Ciudad de México,,,,,
Aragon Inguaran,19.2800,-99.0700,Ciudad de México,,,,,
Azcapotzalco,19.2920,-99.1101,Ciudad de México,,,,,
Barrio Norte,19.2100,-99.1200,Ciudad de México,,,,,
Belisario Dominguez,19.2700,-99.0700,Ciudad de México,,,,,
Benito Juarez,19.2222,-99.0923,Ciudad de México,,,,,
Benito Juarez,19.2306,-99.0954,Ciudad de México,,,,,
Campestre Churubusco,19.2100,-99.0800,Ciudad de México,,,,,
Casas Aleman,19.2700,-99.0600,Ciudad de México,,,,,
Caseta Forestal,19.1042,-99.1448,Ciudad de México,,,,,
Churubusco,19.2100,-99.0900,Ciudad de México,,,,,
Ciudad de México,19.2542,-99.0740,Ciudad de México,,,,,
Ciudad Universitaria,19.2000,-99.1200,Ciudad de México,,,,,
Coapa,19.1900,-99.0900,Ciudad de México,,,,,
Col. Bosques de las Lomas,19.2244,-99.1557,Ciudad de México,,,,,
Col. Extremadura Insurgentes,19.2235,-99.1049,Ciudad de México,,,,,
Col. Mixcoac,19.2223,-99.1119,Ciudad de México,,,,,
Colonia Agricola Oriental,19.2400,-99.0500,Ciudad de México,,,,,
Colonia Condesa,19.2443,-99.1046,Ciudad de México,,,,,
Colonia del Valle,19.2310,-99.0943,Ciudad de México,,,,,
Colonia Escandon,19.2402,-99.1038,Ciudad de México,,,,,
Colonia Napoles,19.2334,-99.1023,Ciudad de México,,,,,
Colonia Narvarte,19.2318,-99.0936,Ciudad de México,,,,,
Colonia Nativitas,19.2252,-99.0813,Ciudad de México,,,,,
Colonia Pantitlan,19.2500,-99.0400,Ciudad de México,,,,,
Colonia Portales,19.2215,-99.0830,Ciudad de México,,,,,
Colonia Roma,19.2505,-99.0947,Ciudad de México,,,,,
Constitucion de la Republica,19.2900,-99.0600,Ciudad de México,,,,,
Cosmopolita,19.2800,-99.1000,Ciudad de México,,,,,
Coyoacan,19.1944,-99.0937,Ciudad de México,,,,,
Cuajimalpa,19.2121,-99.1804,Ciudad de México,,,,,
Cuarto Dinamo,19.1558,-99.1751,Ciudad de México,,,,,
Cuauhtemoc,19.2502,-99.0925,Ciudad de México,,,,,
Cuautepec,19.3400,-99.0800,Ciudad de México,,,,,
Culhuacan,19.2000,-99.0600,Ciudad de México,,,,,
Defensores de la Republica,19.2900,-99.0900,Ciudad de México,,,,,
Educacion,19.2000,-99.0800,Ciudad de México,,,,,
El Arenal,19.2800,-99.0900,Ciudad de México,,,,,
El Gas,19.2800,-99.1000,Ciudad de México,,,,,
El Guarda,19.0900,-99.1100,Ciudad de México,,,,,
El Olivo,19.2314,-99.1638,Ciudad de México,,,,,
Escalera,19.3100,-99.0900,Ciudad de México,,,,,
Escuadron 201,19.2200,-99.0700,Ciudad de México,,,,,
Euzkadi,19.2900,-99.0900,Ciudad de México,,,,,
Faja de Oro,19.2800,-99.0600,Ciudad de México,,,,,
Fernando Casas Aleman,19.2700,-99.0600,Ciudad de México,,,,,
Fernando Casas Aleman Ampliacion,19.2800,-99.0500,Ciudad de México,,,,,
Gabriel Hernandez,19.3000,-99.0600,Ciudad de México,,,,,
Gabriel Hernandez Ampliacion,19.3000,-99.0600,Ciudad de México,,,,,
Gabriel Ramos Millan Bramadero,19.2300,-99.0600,Ciudad de México,,,,,
Gabriel Ramos Millan Tlacotal,19.2300,-99.0600,Ciudad de México,,,,,
Gertrudis Sanchez,19.2800,-99.0600,Ciudad de México,,,,,
Granjas Mexico,19.2400,-99.0600,Ciudad de México,,,,,
Guadalupe Insurgentes,19.2800,-99.0800,Ciudad de México,,,,,
Gustavo A. Madero,19.2843,-99.0545,Ciudad de México,,,,,
Heroes de Churubusco,19.2200,-99.0700,Ciudad de México,,,,,
Huipulco,19.1700,-99.0900,Ciudad de México,,,,,
Ixtahuacan,19.2100,-99.0100,Ciudad de México,,,,,
Iztacalco,19.2348,-99.0505,Ciudad de México,,,,,
Iztapalapa,19.2104,-99.0307,Ciudad de México,,,,,
Jose Maria Pino Suarez,19.2400,-99.1200,Ciudad de México,,,,,
Juan Escutia,19.2500,-99.0400,Ciudad de México,,,,,
Juan Romero Gonzalez,19.3000,-99.0600,Ciudad de México,,,,,
Juventino Rosas,19.2300,-99.0700,Ciudad de México,,,,,
La Cruz,19.2400,-99.0500,Ciudad de México,,,,,
La Joya,19.2700,-99.0700,Ciudad de México,,,,,
La Petrolera,19.2900,-99.1200,Ciudad de México,,,,,
La Preciosa,19.2900,-99.1200,Ciudad de México,,,,,
La Venta,19.2000,-99.1900,Ciudad de México,,,,,
Las Aguilas,19.2200,-99.1200,Ciudad de México,,,,,
Lomas de Chapultepec,19.2400,-99.1400,Ciudad de México,,,,,
Lomas Reforma,19.2400,-99.1400,Ciudad de México,,,,,
Magdalena,19.1400,-99.1000,Ciudad de México,,,,,
Magdalena Contreras,19.1700,-99.1400,Ciudad de México,,,,,
Magdalena de las Salinas,19.2900,-99.0900,Ciudad de México,,,,,
Magdalena Mixhuca,19.2300,-99.0300,Ciudad de México,,,,,
Magdalena Petracalco,19.1407,-99.1053,Ciudad de México,,,,,
Martires de Rio Blanco,19.2800,-99.0700,Ciudad de México,,,,,
Merced Gomez,19.2200,-99.1200,Ciudad de México,,,,,
Mexicaltzingo,19.2100,-99.0700,Ciudad de México,,,,,
Meyahualco,19.2000,-99.0300,Ciudad de México,,,,,
Miguel Hidalgo,19.2521,-99.1210,Ciudad de México,,,,,
Milpa Alta,19.1131,-99.0125,Ciudad de México,,,,,
Mixquic,19.1300,98.5800,Ciudad de México,,,,,
Molino de Rosas,19.2200,-99.1200,Ciudad de México,,,,,
Nueva Atzacoalco,19.3000,-99.0600,Ciudad de México,,,,,
Nueva Santa Maria,19.2800,-99.1000,Ciudad de México,,,,,
Nueva Tenochtitlan,19.2700,-99.0600,Ciudad de México,,,,,
Obrero Popular,19.2800,-99.1000,Ciudad de México,,,,,
Olivar de los Padres,19.2000,-99.1300,Ciudad de México,,,,,
Olivar del Conde,19.2200,-99.1300,Ciudad de México,,,,,
Oxtotepec,19.1200,-99.0400,Ciudad de México,,,,,
Palo Alto,19.2300,-99.1500,Ciudad de México,,,,,
Panamericana,19.2900,-99.0900,Ciudad de México,,,,,
Patrimonio,19.2800,-99.0900,Ciudad de México,,,,,
Pedregal de Santa Ursula,19.1800,-99.0900,Ciudad de México,,,,,
Peralvillo,19.2400,-99.0900,Ciudad de México,,,,,
Piedad,19.2400,-99.0900,Ciudad de México,,,,,
Polanco,19.2500,-99.1200,Ciudad de México,,,,,
Portales,19.2400,-99.0900,Ciudad de México,,,,,
Prado Churubusco,19.2100,-99.0700,Ciudad de México,,,,,
Pro-Hogar,19.2900,-99.0900,Ciudad de México,,,,,
Progreso Nacional,19.3100,-99.0900,Ciudad de México,,,,,
Reinosa Tamaulipas,19.3000,-99.1100,Ciudad de México,,,,,
Salvador Diaz Miron,19.2900,-99.0600,Ciudad de México,,,,,
San Alvaro,19.2800,-99.1100,Ciudad de México,,,,,
San Andres,19.1500,-99.1000,Ciudad de México,,,,,
San Andres Ahuayucan,19.1330,-99.0631,Ciudad de México,,,,,
San Andres Tetepilco,19.2200,-99.0800,Ciudad de México,,,,,
San Andres Totoltepec,19.1511,-99.1029,Ciudad de México,,,,,
San Bartolo Amayalco,19.1954,-99.1624,Ciudad de México,,,,,
San Bartolo Atepehuacan,19.3000,-99.0900,Ciudad de México,,,,,
San Bartolo Xicomulco,19.1216,-99.0403,Ciudad de México,,,,,
San Bernabe Ocotepec,19.1828,-99.1557,Ciudad de México,,,,,
San Felipe de Jesus,19.3100,-99.0500,Ciudad de México,,,,,
San Francisco,19.1200,-99.0700,Ciudad de México,,,,,
San Francisco Culhuacan,19.2000,-99.0700,Ciudad de México,,,,,
San Francisco Tlalneplanta,19.1144,-99.0725,Ciudad de México,,,,,
San Gregorio Atlapulco,19.1504,-99.0320,Ciudad de México,,,,,
San Juan de Aragon,19.2800,-99.0500,Ciudad de México,,,,,
San Lorenzo Acopilco,19.1954,-99.1940,Ciudad de México,,,,,
San Lorenzo Tezonco,19.1800,-99.0400,Ciudad de México,,,,,
San Lorenzo Tlacoyucan,19.1028,-99.0203,Ciudad de México,,,,,
San Luis Tlaxialtenango,19.1540,-99.0215,Ciudad de México,,,,,
San Mateo Tlaltenango,19.2027,-99.1648,Ciudad de México,,,,,
San Mateo Xalpa,19.1350,-99.0713,Ciudad de México,,,,,
San Miguel Ajusco,19.1314,-99.1217,Ciudad de México,,,,,
San Miguel Amantla,19.2800,-99.1200,Ciudad de México,,,,,
San Miguel Xicalco,19.1403,-99.0955,Ciudad de México,,,,,
San Nicolas Totolapan,19.1758,-99.1516,Ciudad de México,,,,,
San Pablo Oztotepec,19.1108,-99.0428,Ciudad de México,,,,,
San Pedro,19.1600,-99.0800,Ciudad de México,,,,,
San Pedro,19.2400,-99.0600,Ciudad de México,,,,,
San Pedro Atocpan,19.1159,-99.0302,Ciudad de México,,,,,
San Pedro Martir,19.1600,-99.1008,Ciudad de México,,,,,
San Pedro Zacatenco,19.3000,-99.0700,Ciudad de México,,,,,
San Salvador Cuauhtenco,19.1126,-99.0526,Ciudad de México,,,,,
Santa Ana Tlacotenco,19.1000,-99.0000,Ciudad de México,,,,,
Santa Anita,19.2400,-99.0700,Ciudad de México,,,,,
Santa Catarina Yecahuizotl,19.1900,98.5800,Ciudad de México,,,,,
Santa Cecilia,19.3400,-99.1000,Ciudad de México,,,,,
Santa Cecilia Tepetlapan,19.1301,-99.0553,Ciudad de México,,,,,
Santa Cruz Acalpixca,19.1444,-99.0432,Ciudad de México,,,,,
Santa Cruz Acayucan,19.2900,-99.1200,Ciudad de México,,,,,
Santa Fe,19.2300,-99.1500,Ciudad de México,,,,,
Santa Lucia,19.2115,-99.1516,Ciudad de México,,,,,
Santa Maria Aztahuacan,19.2100,-99.0300,Ciudad de México,,,,,
Santa Maria Nativitas,19.1440,-99.0539,Ciudad de México,,,,,
Santa Maria Ticoman,19.3100,-99.0800,Ciudad de México,,,,,
Santa Rosa,19.3200,-99.1000,Ciudad de México,,,,,
Santo Tomas Ajusco,19.1315,-99.1140,Ciudad de México,,,,,
Sector Popular,19.2200,-99.0700,Ciudad de México,,,,,
Tacuba,19.2400,-99.0900,Ciudad de México,,,,,
Tacubaya,19.2400,-99.1200,Ciudad de México,,,,,
Tecoentitla,19.1226,-99.1314,Ciudad de México,,,,,
Tepalcatlapan,19.1457,-99.0727,Ciudad de México,,,,,
Tepepan,19.1628,-99.0805,Ciudad de México,,,,,
Tetelco,19.1300,98.5800,Ciudad de México,,,,,
Tlacoquemeca,19.2300,-99.1000,Ciudad de México,,,,,
Tlahuac,19.1654,-99.0012,Ciudad de México,,,,,
Tlalpan,19.1700,-99.1000,Ciudad de México,,,,,
Tlaltenco,19.1700,-99.0100,Ciudad de México,,,,,
Tlatilco,19.2800,-99.1000,Ciudad de México,,,,,
Tomatlan,19.2000,-99.0600,Ciudad de México,,,,,
Topilejo,19.1203,-99.0834,Ciudad de México,,,,,
Trabajadores del Hierro,19.2900,-99.0900,Ciudad de México,,,,,
Tres Estrellas,19.2800,-99.0700,Ciudad de México,,,,,
Tulyehualco,19.1520,-99.0034,Ciudad de México,,,,,
Unidad del Seguro Social en Santa Fe,19.2300,-99.1300,Ciudad de México,,,,,
Unidad Modelo,19.2200,-99.0700,Ciudad de México,,,,,
Valle,19.2400,-99.0900,Ciudad de México,,,,,
Vasco de Quiroga,19.2800,-99.0600,Ciudad de México,,,,,
Venustiano Carranza,19.2548,-99.0557,Ciudad de México,,,,,
Viaducto Piedad,19.2400,-99.0800,Ciudad de México,,,,,
Villa Coapa,19.1734,-99.0733,Ciudad de México,,,,,
Villahermosa,19.2900,-99.0600,Ciudad de México,,,,,
Xochimilco,19.1544,-99.0627,Ciudad de México,,,,,
Zapotitlan,19.1800,-99.0200,Ciudad de México,,,,,
